               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.036275,             0.01118,            0.013896,             0.71656,             0.79669,             0.83907,             0.48329,             0.02851,           0.0060028,            0.006588,           0.0094654,           0.0094654,           0.0094654
                  56,            0.035507,            0.010688,            0.012206,             0.77698,             0.76612,             0.85007,             0.57672,             0.02549,           0.0059841,           0.0063986,           0.0094555,           0.0094555,           0.0094555
                  57,            0.032615,            0.011389,             0.01235,             0.72575,             0.79635,             0.85542,             0.54251,            0.034141,           0.0059032,           0.0058635,           0.0094456,           0.0094456,           0.0094456
                  58,            0.039134,            0.010862,            0.010955,             0.65796,             0.76063,             0.78706,              0.5209,            0.027158,           0.0059276,           0.0060152,           0.0094357,           0.0094357,           0.0094357
                  59,            0.035811,            0.011761,            0.011962,             0.75139,             0.74906,             0.83942,             0.50968,            0.028426,           0.0060967,           0.0060637,           0.0094258,           0.0094258,           0.0094258
                  60,            0.035324,            0.010488,            0.011018,             0.70594,             0.87544,             0.87095,             0.57577,            0.027393,           0.0057922,           0.0062039,           0.0094159,           0.0094159,           0.0094159
                  61,            0.033779,            0.010306,            0.011081,             0.74655,             0.85258,              0.9094,             0.61063,            0.027029,           0.0056336,           0.0058429,            0.009406,            0.009406,            0.009406
                  62,            0.033767,            0.011705,            0.011722,             0.79396,             0.84492,             0.87878,             0.41853,            0.030011,           0.0055898,           0.0058564,           0.0093961,           0.0093961,           0.0093961
                  63,            0.033964,            0.010244,            0.011992,             0.79235,             0.83833,             0.88616,             0.53237,             0.02935,           0.0056636,           0.0054698,           0.0093862,           0.0093862,           0.0093862
                  64,            0.034623,           0.0096852,            0.010034,             0.81814,             0.86184,             0.89224,             0.64627,            0.023681,           0.0056201,           0.0053422,           0.0093763,           0.0093763,           0.0093763
                  65,            0.035099,            0.010098,           0.0096431,             0.78308,             0.87204,             0.90419,             0.60535,             0.02635,           0.0055834,           0.0051834,           0.0093664,           0.0093664,           0.0093664
                  66,            0.037773,           0.0097042,           0.0087047,             0.81787,             0.86411,             0.92378,             0.65383,             0.02517,           0.0055959,            0.005212,           0.0093565,           0.0093565,           0.0093565
                  67,            0.034446,            0.010123,           0.0077988,             0.82093,              0.8982,             0.92133,             0.67033,             0.02347,            0.005482,           0.0049709,           0.0093466,           0.0093466,           0.0093466
                  68,            0.030864,            0.010782,            0.011044,             0.80793,             0.87053,             0.92104,             0.55166,            0.027294,           0.0055839,            0.004745,           0.0093367,           0.0093367,           0.0093367
                  69,            0.034802,            0.010187,           0.0089801,             0.88824,             0.81311,             0.92611,             0.67189,              0.0266,           0.0056012,           0.0049754,           0.0093268,           0.0093268,           0.0093268
                  70,             0.03345,            0.010082,           0.0090286,             0.87589,             0.88174,             0.95158,             0.67129,            0.029389,           0.0054015,           0.0046675,           0.0093169,           0.0093169,           0.0093169
                  71,            0.031287,           0.0096973,           0.0087944,             0.85406,             0.85277,             0.92577,             0.54051,            0.033283,           0.0055227,           0.0047559,            0.009307,            0.009307,            0.009307
                  72,            0.033967,            0.010106,           0.0089323,             0.92133,             0.92154,             0.95338,              0.6102,            0.027155,           0.0054215,           0.0045089,           0.0092971,           0.0092971,           0.0092971
                  73,             0.03166,           0.0096928,           0.0086399,             0.91113,             0.84388,             0.92934,              0.6364,            0.025607,           0.0052797,           0.0042358,           0.0092872,           0.0092872,           0.0092872
                  74,             0.03143,           0.0095588,           0.0089539,             0.91284,             0.93133,             0.96339,             0.66556,            0.027076,           0.0052142,           0.0038744,           0.0092773,           0.0092773,           0.0092773
                  75,             0.03321,            0.009945,           0.0086026,             0.92737,             0.92126,             0.96755,             0.56242,            0.027148,           0.0052189,           0.0037395,           0.0092674,           0.0092674,           0.0092674
                  76,             0.03134,           0.0080307,           0.0083092,             0.90092,             0.91386,             0.96576,             0.42442,            0.028636,           0.0052851,           0.0037986,           0.0092575,           0.0092575,           0.0092575
                  77,            0.033462,           0.0098708,           0.0082043,             0.90569,             0.97686,             0.97989,             0.56102,             0.02869,           0.0052058,           0.0035835,           0.0092476,           0.0092476,           0.0092476
                  78,            0.032231,            0.010159,           0.0070425,             0.92299,             0.96577,             0.98403,             0.68733,            0.025291,            0.005051,           0.0034629,           0.0092377,           0.0092377,           0.0092377
                  79,            0.031913,           0.0092178,           0.0057894,             0.92906,              0.9366,             0.97579,             0.65059,            0.027654,           0.0049708,           0.0034165,           0.0092278,           0.0092278,           0.0092278
                  80,            0.032958,           0.0097894,           0.0067301,              0.9327,              0.9475,             0.96871,             0.63984,            0.029515,            0.004908,            0.003355,           0.0092179,           0.0092179,           0.0092179
                  81,             0.03244,            0.010113,           0.0083038,             0.96397,             0.92119,              0.9773,             0.41507,            0.027046,           0.0050512,           0.0033057,            0.009208,            0.009208,            0.009208
                  82,             0.03117,           0.0084915,           0.0065637,             0.86564,             0.92915,             0.90721,             0.57261,            0.025347,            0.005013,           0.0031185,           0.0091981,           0.0091981,           0.0091981
                  83,            0.034032,           0.0090586,           0.0063892,             0.92761,             0.92115,             0.96813,              0.6234,            0.024862,           0.0049243,           0.0029248,           0.0091882,           0.0091882,           0.0091882
                  84,            0.030597,            0.010003,           0.0076983,             0.89549,             0.94365,             0.95974,             0.58096,            0.026052,           0.0049165,           0.0029144,           0.0091783,           0.0091783,           0.0091783
                  85,             0.03216,            0.010033,           0.0064608,             0.88901,             0.96363,             0.95988,             0.58394,            0.026525,           0.0048718,           0.0029985,           0.0091684,           0.0091684,           0.0091684
                  86,            0.032053,            0.009216,           0.0067917,             0.95921,             0.93434,             0.96822,             0.66563,            0.025468,           0.0048243,           0.0030392,           0.0091585,           0.0091585,           0.0091585
                  87,            0.031072,           0.0092403,           0.0066528,             0.90396,             0.94012,             0.96518,             0.70451,            0.025303,           0.0047771,           0.0031186,           0.0091486,           0.0091486,           0.0091486
                  88,            0.030935,           0.0095647,           0.0067712,             0.92602,             0.93648,             0.96718,             0.70738,            0.023671,           0.0047781,           0.0031011,           0.0091387,           0.0091387,           0.0091387
                  89,            0.030189,           0.0091467,           0.0075225,             0.94437,             0.93426,             0.96883,             0.71404,            0.022172,           0.0047628,           0.0030573,           0.0091288,           0.0091288,           0.0091288
                  90,            0.029675,           0.0085325,           0.0057698,             0.92912,             0.92855,             0.96723,             0.72047,            0.022149,           0.0047432,           0.0031467,           0.0091189,           0.0091189,           0.0091189
                  91,            0.031207,           0.0088327,           0.0068825,             0.96095,             0.86659,             0.95496,             0.62441,            0.023698,           0.0050005,           0.0034727,            0.009109,            0.009109,            0.009109
                  92,            0.030634,           0.0094503,           0.0067107,             0.89128,             0.78447,              0.8764,             0.50499,            0.024804,           0.0051611,           0.0042775,           0.0090991,           0.0090991,           0.0090991
